race_id,開催日,競馬場,距離,券種,買い方,軸馬番,相手馬番,点数,購入額,的中,払戻
202505010811,2025/02/23,東京,ダ1600,馬単,1頭軸,14,1|7|8|9|12,5,5000,0,0
202509020611,2025/04/13,阪神,芝1600,3連複,1頭軸,2,6|8|9|15,6,600,0,0
202509020611,2025/04/13,阪神,芝1600,3連単,流し,2,6|8|9|15,12,1200,0,0
202506030811,2025/04/20,中山,芝2000,3連複,1頭軸,10,1|2|5|9|17,10,1000,0,0
202508020411,2025/05/04,京都,芝3200,3連単,フォーメーション,5,3|6|8|14|15,12,1200,0,0
202505021211,2025/06/01,東京,芝2400,3連複,2頭軸,13|17,2|6|7|9|16,5,500,1,2990
202505030611,2025/06/22,東京,芝1600,馬連,1頭軸,7,4|10|11|12|13,5,500,1,3030
202542062511,2025/06/25,浦和,ダ1400,馬単,1頭軸,2,4|5|6|9|11,5,500,1,6150
202506050811,2025/12/28,中山,芝2500,3連複,2頭軸,5|6,3|4|9|12|13|16,6,600,0,0
202506050811,2025/12/28,中山,芝2500,3連単,フォーメーション,5|6,3|4|9|12|13|16,12,2400,0,0
202505041111,2025/11/02,東京,芝2000,3連複,1頭軸,13,3|4|5|6|7,10,1000,0,0
202508040411,2025/11/16,京都,芝2200,3連複,1頭軸,7,4|6|9|10|13,10,1000,0,0
202508040611,2025/11/23,京都,芝1600,馬単,1頭軸,15,1|4|12|14|16|17,6,600,0,0
202505050812,2025/11/30,東京,芝2400,3連単,フォーメーション,8,1|2|14|18,9,900,0,0
202406050811,2024/12/22,中山,芝2500,3連複,1頭軸,8,1|3|6|9|10|16,15,1500,1,20850
202406050811,2024/12/22,中山,芝2500,ワイド,BOX,,8|9|10|15|16,10,1000,1,4450
202405030211,2024/06/02,東京,芝1600,馬連,フォーメーション,7|15,3|5|7|13|15|16,9,900,1,2850